"","year","country","emissions_CDIAC","emissions_UNFCCC","consum_emissions_UNFCCC","transfers_UNFCCC"
"234",1964,"HUNGARY",17.017,17.017,NA,NA
"235",1964,"INDIA",41.082,41.082,NA,NA
"236",1964,"INDONESIA",6.107,6.107,NA,NA
"237",1964,"IRELAND",3.881,3.881,NA,NA
"238",1964,"ITALY.(INCLUDING.SAN.MARINO)",47.984,47.984,NA,NA
"239",1964,"JAPAN",97.987,97.987,NA,NA
"240",1964,"LATVIA",1.94657907312147,1.94657907312147,NA,NA
"241",1964,"LITHUANIA",3.18454431247392,3.18454431247392,NA,NA
"242",1964,"LUXEMBOURG",3.356,3.356,NA,NA
"243",1964,"MALTA",0.136,0.136,NA,NA
"244",1964,"MEXICO",20.256,20.256,NA,NA
"245",1964,"NETHERLANDS",26.416,26.416,NA,NA
"246",1964,"POLAND",66.298,66.298,NA,NA
"247",1964,"PORTUGAL",3.006,3.006,NA,NA
"248",1964,"ROMANIA",19.666,19.666,NA,NA
"249",1964,"RUSSIAN.FEDERATION",299.327657402422,299.327657402422,NA,NA
"250",1964,"SAUDI.ARABIA",1.922,1.922,NA,NA
"251",1964,"SLOVAKIA",10.9178960171667,10.9178960171667,NA,NA
"252",1964,"SLOVENIA",1.80445012494367,1.80445012494367,NA,NA
"253",1964,"SOUTH.AFRICA",32.631,32.631,NA,NA
"254",1964,"SPAIN",17.565,17.565,NA,NA
"255",1964,"SWEDEN",16.48,16.48,NA,NA
"256",1964,"TURKEY",7.182,7.182,NA,NA
"257",1964,"UNITED.KINGDOM",165.9,165.9,NA,NA
"258",1964,"UNITED.STATES.OF.AMERICA",887.918,887.918,NA,NA
"259",1965,"ARGENTINA",16.053,16.053,NA,NA
"260",1965,"AUSTRALIA",32.988,32.988,NA,NA
"261",1965,"AUSTRIA",10.414,10.414,NA,NA
"262",1965,"BELGIUM",28.754,28.754,NA,NA
"263",1965,"BRAZIL",15.38,15.38,NA,NA
"264",1965,"BULGARIA",12.631,12.631,NA,NA
"265",1965,"CANADA",68.763,68.763,NA,NA
"266",1965,"CHINA.(MAINLAND)",129.799,129.799,NA,NA
"267",1965,"CROATIA",2.4954541804924,2.4954541804924,NA,NA
"268",1965,"CYPRUS",0.314,0.314,NA,NA
"269",1965,"CZECH.REPUBLIC",33.387678284935,33.387678284935,NA,NA
"270",1965,"DEMOCRATIC.PEOPLE.S.REPUBLIC.OF.KOREA",12.072,12.072,NA,NA
"271",1965,"DENMARK",12.091,12.091,NA,NA
"272",1965,"ESTONIA",3.50739896362414,3.50739896362414,NA,NA
"273",1965,"FINLAND",6.907,6.907,NA,NA
"274",1965,"FRANCE.(INCLUDING.MONACO)",95.951,95.951,NA,NA
"275",1965,"GERMANY",262.081,262.081,NA,NA
"276",1965,"GREECE",4.643,4.643,NA,NA
"277",1965,"HUNGARY",16.715,16.715,NA,NA
"278",1965,"INDIA",45.261,45.261,NA,NA
"279",1965,"INDONESIA",6.733,6.733,NA,NA
"280",1965,"IRELAND",3.745,3.745,NA,NA
"281",1965,"ITALY.(INCLUDING.SAN.MARINO)",51.75,51.75,NA,NA
"282",1965,"JAPAN",105.514,105.514,NA,NA
"283",1965,"LATVIA",2.06495247547446,2.06495247547446,NA,NA
